condition,duration,failure_observed
fast,29.835,0
fast,29.912,0
fast,29.992,0
fast,29.963,0
fast,29.927,0
fast,29.941,0
fast,29.782,0
fast,29.997,0
fast,29.947,0
fast,29.945,0
fast,29.932,0
fast,29.935,0
fast,29.934,0
fast,29.988,0
fast,29.95,0
fast,29.992,0
fast,29.835,0
fast,29.806,0
fast,29.996,0
fast,29.952,0
fast,29.954,0
fast,29.784,0
fast,29.846,0
fast,29.888,0
fast,29.878,0
fast,29.851,0
fast,29.92,0
fast,29.995,0
fast,29.792,0
fast,29.984,0
fast,29.984,0
fast,29.947,0
fast,29.938,0
fast,29.95,0
fast,29.933,0
fast,29.929,0
fast,29.68,0
fast,29.78,0
fast,29.948,0
fast,29.939,0
fast,29.996,0
fast,29.895,0
fast,29.961,0
fast,29.968,0
fast,29.998,0
fast,29.903,0
fast,29.959,0
fast,29.912,0
fast,29.973,0
fast,29.863,0
fast,29.956,0
fast,29.931,0
fast,29.989,0
fast,29.989,0
fast,29.91,0
fast,29.787,0
fast,29.954,0
fast,29.921,0
fast,29.939,0
fast,29.918,0
fast,29.905,0
fast,29.925,0
fast,29.894,0
fast,29.977,0
fast,29.993,0
fast,29.913,0
fast,29.943,0
fast,29.993,0
fast,29.961,0
fast,29.762,0
fast,30.0,0
fast,29.958,0
fast,29.964,0
fast,29.94,0
fast,0.10299999999999998,1
fast,29.703,0
fast,29.891,0
fast,29.947,0
fast,29.968,0
fast,29.961,0
fast,29.923,0
fast,29.927,0
fast,29.968,0
fast,29.927,0
fast,29.986,0
fast,29.84,0
fast,29.921,0
fast,29.954,0
fast,29.97,0
fast,29.906,0
fast,29.958,0
fast,29.823,0
fast,29.94,0
fast,29.894,0
fast,29.967,0
fast,29.968,0
fast,29.848,0
fast,30.0,0
fast,29.809,0
fast,29.912,0
fast,29.854,0
fast,29.803,0
fast,29.935,0
fast,29.933,0
fast,29.906,0
fast,29.973,0
fast,29.975,0
fast,29.92,0
fast,29.987,0
fast,29.952,0
fast,29.862,0
fast,29.947,0
fast,29.994,0
fast,29.78,0
fast,29.965,0
fast,29.954,0
fast,29.799,0
fast,29.902,0
fast,29.91,0
fast,29.88,0
fast,29.96,0
fast,29.995,0
fast,29.965,0
fast,29.911,0
fast,29.977,0
