de,k0_chain_over_kc,kinf_over_k0,episodes,observed_failures,km_median_lifetime,median_loading_rate
0.01,0.5,0.25,10,0,,0.1070819790998101
0.1,0.5,0.25,10,0,,0.11113346469260321
1.0,0.5,0.25,10,0,,0.1112890030858793
10.0,0.5,0.25,10,0,,0.13923259858694692
100.0,0.5,0.25,10,0,,0.25502410754763005
0.01,2.0,0.25,10,0,,0.29261329339425046
0.1,2.0,0.25,10,0,,0.36020025858629623
1.0,2.0,0.25,10,0,,0.3905583907912735
10.0,2.0,0.25,10,0,,0.4782888597101298
100.0,2.0,0.25,10,0,,0.6553413651602114
0.01,10.0,0.25,10,0,,0.8240152129048717
0.1,10.0,0.25,10,0,,1.247214786991968
1.0,10.0,0.25,10,0,,1.5557117613873572
10.0,10.0,0.25,10,0,,1.6569065712592757
100.0,10.0,0.25,10,0,,1.7660779075472366
0.01,50.0,0.25,10,0,,2.0740467672022422
0.1,50.0,0.25,10,0,,2.610851832123923
1.0,50.0,0.25,10,0,,2.6899844842773746
10.0,50.0,0.25,10,0,,2.7432176374391215
100.0,50.0,0.25,10,0,,2.759027008527204
