condition,time,terminal_displacement,sls_q,bound_clutches,total_traction,actin_velocity,loading_rate,phase
fast,0.0,0.0,0.0,0,0.0,1.0,0.0,unbound
fast,0.02,0.0,0.0,0,0.0,1.0,0.0,unbound
fast,0.04,0.0034144619194158565,0.0048758270491046475,1,0.00658305800881291,0.9995056516069581,0.6508772923111781,loading
fast,0.06,0.01070564758691539,0.013917946890349808,1,0.01927077068380738,0.9984457652767116,0.61995400434698,loading
fast,0.08,0.018563252723037493,0.022089764250045614,1,0.031371390611564756,0.9974350484326922,0.5919718038700332,loading
fast,0.1,0.02693239042187834,0.029474543006280267,1,0.04294073821721929,0.9964688259260245,0.566649329512496,loading
fast,0.12,0.03576342513909836,0.036147581262699915,1,0.05402929383224928,0.9955428698587679,0.5437321374649403,loading
fast,0.14,0.04553978902572986,0.04295382781680387,2,0.06572372232966922,0.994588107673174,0.7810144077573244,loading
fast,0.16,0.05785559471675228,0.05192103103629945,2,0.08084882839467533,0.9933238285855941,0.7347714218046142,loading
fast,0.18,0.07158926316955316,0.061229740337082665,3,0.09702437192185928,0.9919833353935688,0.8243966446849077,loading
fast,0.2,0.08632769351776481,0.07019775400064146,4,0.11336160075952388,0.9906243997591595,0.8543978694374732,loading
fast,0.22,0.1020133051480574,0.07880401300498795,4,0.12981066557901688,0.9892486918960779,0.7949683319512513,loading
fast,0.24,0.11794720590109264,0.08618688318337979,4,0.1451604861339258,0.9879652802170338,0.7438487383318038,loading
fast,0.26,0.13409269320966466,0.09251835496622125,4,0.159564701571054,0.9867612641135023,0.6998709330817698,loading
fast,0.28,0.15041822536728056,0.0979462408543195,4,0.17315535353796024,0.9856255564532229,0.6620309766346422,loading
fast,0.3,0.16689669602816082,0.10259757428301396,4,0.18604592229709432,0.984548628646938,0.6294660603507474,loading
fast,0.32,0.18350481069596292,0.10658153068371601,4,0.1983339360316972,0.9835222915529198,0.6014346667346793,loading
fast,0.34,0.2002225508639377,0.10999193791098166,4,0.2101032133429504,0.9825395071813103,0.5772995186741348,loading
fast,0.36,0.2170327134847252,0.11290943376093254,4,0.2214257905032953,0.9815942268685274,0.5565129256241974,loading
fast,0.38,0.23392051518017176,0.11540332019191366,4,0.23236357778199962,0.9806812522006488,0.5386041897856853,loading
fast,0.4,0.25087325209019085,0.11753315688412029,4,0.24296978292921595,0.979796115487789,0.5231687826841025,loading
fast,0.42,0.26788000753911057,0.11935013078117511,4,0.2532901345507304,0.9789349770410455,0.5098590432763839,loading
fast,0.44,0.28511204467009676,0.12115610891736746,5,0.26371213125241605,0.9780683376706566,0.5321833002958076,loading
fast,0.46,0.3025654086961804,0.12292327541416105,5,0.274205979762251,0.9771926897445987,0.518256697435715,loading
fast,0.48,0.32005290033071176,0.12441633632294513,5,0.28444278648830096,0.9763386283444307,0.5063266214697104,loading
fast,0.5,0.33756756289481693,0.12567554577887138,5,0.29445932722628027,0.9755030643966361,0.49609998591437776,loading
fast,0.52,0.3551034625217184,0.12673524794843355,5,0.3042869792092929,0.9746833622937349,0.4873267341107268,loading
fast,0.54,0.3726555379902212,0.12762474470879945,5,0.3139525137039107,0.9738772733181532,0.47979352174987167,loading
fast,0.56,0.39021947260509293,0.1283690359377351,5,0.3234787722402813,0.9730828788405519,0.47331832690372666,loading
fast,0.58,0.40779158488746603,0.12898945111694898,5,0.3328852435606825,0.972298541857559,0.4677458513913102,loading
fast,0.6,0.42536873531368435,0.12950418820581827,5,0.34218855586266006,0.9715228656445529,0.46294359729581736,loading
fast,0.62,0.4429482467463792,0.12992877339969877,5,0.3514028967728892,0.9707546584788861,0.45879851952185247,loading
fast,0.64,0.46052783654758045,0.13027645338825938,5,0.36054037166205033,0.9699929035423124,0.4552141697986012,loading
fast,0.66,0.4781055586587044,0.1305585300239211,5,0.36961130935327385,0.9692367332422274,0.4521082600018045,loading
fast,0.68,0.4957703475126891,0.13091525191333972,6,0.37880042566968436,0.9684725429922836,0.4709415770873804,loading
fast,0.7000000000000001,0.5135702054800664,0.13138359374527558,6,0.38816869648530905,0.9676914619416127,0.46623978466198146,loading
fast,0.72,0.5314120016262738,0.13182846480579075,7,0.39753446561892813,0.9669120335205488,0.4788678655128775,loading
fast,0.74,0.5494023614551349,0.13239265454987853,8,0.40709383527744614,0.9661160787975863,0.48678084848152725,loading
fast,0.76,0.5675076498672933,0.1330084143026222,8,0.4167622392362693,0.9653098583926397,0.4805399479455019,loading
fast,0.78,0.5856112649388727,0.13351023286000047,8,0.42631586532943644,0.9645132803838161,0.47522993522985946,loading
fast,0.8,0.6037435029751208,0.1339630689432287,9,0.4358348204307887,0.963720518425808,0.48104154048500547,loading
fast,0.8200000000000001,0.6219466736480825,0.13442714275837306,9,0.4454004795824156,0.962922953285785,0.4759190118356349,loading
fast,0.84,0.640144444651833,0.13479971868317855,9,0.45487194100909434,0.9621333016936442,0.47156133282511004,loading
fast,0.86,0.6491130391721978,0.12186804569559104,8,0.44642456528168906,0.9628451268279826,0.5660872174804155,loading
fast,0.88,0.6669706161582276,0.12405549038174404,8,0.4575407984608578,0.9619171854551463,0.5470239226132989,loading
fast,0.9,0.6848536234727476,0.12588083879680115,8,0.4683076505331757,0.9610186055272897,0.5309168606517645,loading
fast,0.92,0.7027558381403196,0.12740129178177564,8,0.478779210851935,0.9601448406939193,0.5172991789654802,loading
fast,0.9400000000000001,0.7206720217269336,0.12866501610880363,8,0.4890010269722703,0.9592920625654465,0.5057777576285005,loading
fast,0.96,0.7385977648443713,0.1297125712837789,8,0.49901145370596434,0.9584570473215337,0.4960215643690091,loading
fast,0.98,0.7565293562128996,0.130578111005813,8,0.5088427891122628,0.957637080228039,0.48775184873051103,loading
fast,1.0,0.7744636724036376,0.13129039487327337,8,0.5185222310750929,0.9568298752341493,0.48073388488489854,loading
fast,1.02,0.7923980849945611,0.13187364030524437,8,0.5280726828025243,0.9560335072680042,0.4747700185747661,loading
fast,1.04,0.8103303823898926,0.13234823991411918,8,0.5375134311090651,0.9552463552252609,0.4696938121959704,loading
fast,1.06,0.8282587039869949,0.13273136557939974,8,0.5468607175728964,0.9544670539618046,0.4653651145520854,loading
fast,1.08,0.8344187385554438,0.11818032443970863,7,0.5353896937174303,0.9554314882429179,0.5675526324454561,loading
fast,1.1,0.8519268310206218,0.12056132411469883,7,0.5465247396250092,0.954501897208936,0.5475061322414154,loading
fast,1.12,0.8694692338909498,0.12255718512547759,7,0.5572918020709524,0.9536032261529166,0.5305159059514342,loading
fast,1.1400000000000001,0.8870385123909266,0.12422764185280057,7,0.5677468980482648,0.9527307675016324,0.5161080678538488,loading
fast,1.16,0.904628386256336,0.1256231658622559,7,0.5779373589904221,0.9518805436021334,0.5038822160223777,loading
fast,1.18,0.922233550706892,0.12678640225728213,7,0.5879031776107285,0.9510491935355615,0.49350003746650994,loading
fast,1.2,0.9399693791396633,0.12791872804966456,8,0.5979034176194947,0.9502161492286345,0.4972083631091806,loading
fast,1.22,0.9577342396886355,0.12888280660915258,8,0.6077499264534683,0.9493948515324119,0.4881448424105539,loading
fast,1.24,0.975503626465759,0.12967820977991087,8,0.61743002301279,0.9485875363250925,0.4804589139002502,loading
fast,1.26,0.9932746455641794,0.13033159016593515,8,0.6269689129480243,0.9477920850083522,0.47393304825060767,loading
fast,1.28,1.01104486181808,0.13086539096180927,8,0.6363878218708483,0.9470067135167441,0.4683840717782939,loading
fast,1.3,1.0288122263497677,0.1312985107690356,8,0.6457046239439177,0.946229919483043,0.46365774043422014,loading
fast,1.32,1.0465750155596378,0.13164686341407691,8,0.6549343711938946,0.9454604377480754,0.4596241707996995,loading
fast,1.34,1.0643317797518304,0.13192384935111184,8,0.6640897392270273,0.944697202897135,0.4561739926474129,loading
fast,1.36,1.0820812998737193,0.13214075261343006,8,0.6731814025502885,0.9439393177132428,0.45321510920182106,loading
fast,1.3800000000000001,1.0998225510877901,0.13230707507200026,8,0.682218350615895,0.943186026612761,0.4506699690267624,loading
fast,1.4000000000000001,1.1175546720968192,0.13243081790265956,8,0.6912081539510688,0.9424366932764774,0.44847326879704497,loading
fast,1.42,1.1352769393137194,0.1325187185995616,8,0.7001571882564235,0.9416907818135387,0.44657001888737113,loading
fast,1.44,1.1529887451108625,0.13257645055572606,8,0.7090708231111573,0.9409478409002758,0.44491391446754847,loading
fast,1.46,1.1706895795046428,0.13260879112267293,8,0.7179535808749926,0.940207490424073,0.44346596386879433,loading
fast,1.48,1.1883790147326945,0.13261976312744123,8,0.7268092704937872,0.9394694102366483,0.44219333356743107,loading
fast,1.5,1.2060566922669054,0.1326127540389972,8,0.7356411001724479,0.9387333306835952,0.4410683755897704,loading
fast,1.52,1.2237223118775624,0.13259061631401015,8,0.7444517722527917,0.9379990246296466,0.44006780855099237,loading
fast,1.54,1.2413756224246466,0.1325557518944414,8,0.7532435631067647,0.9372663007434339,0.43917202797039145,loading
fast,1.56,1.2590164141035185,0.1325101833599336,8,0.7620183904116924,0.9365349978428262,0.43836452560697126,loading
fast,1.58,1.276644511915288,0.13245561384270332,8,0.7707778698003449,0.9358049801333397,0.43763140042152315,loading
fast,1.6,1.2942597701684448,0.13239347747972108,8,0.7795233625639448,0.9350761331985729,0.43696094681955344,loading
fast,1.62,1.3118620678488853,0.1323249818966936,8,0.7882560158211338,0.9343483606238963,0.43634330788933084,loading
fast,1.6400000000000001,1.3265526211453462,0.12805173655058727,7,0.7913280471232613,0.93409409321645,0.4571657206606794,loading
fast,1.6600000000000001,1.3439270682007542,0.1284607303428339,7,0.8004242644432105,0.9333357103142372,0.4527882140568096,loading
fast,1.68,1.361297961169445,0.12879071704567494,7,0.8094396976303959,0.9325841117273088,0.4490383581023938,loading
fast,1.7,1.378663781852124,0.12905396000449867,7,0.8183858509305584,0.9318383306611617,0.4458188644993477,loading
fast,1.72,1.3960232490629352,0.12926082092052363,7,0.8272724454519911,0.9310975501732582,0.4430475310903681,loading
fast,1.74,1.4133752818753695,0.1294200547322531,7,0.8361076956699374,0.930361079936046,0.4406549024889017,loading
fast,1.76,1.4307189685675148,0.12953905877067165,7,0.8448985430544282,0.9296283366032548,0.4385822934858119,loading
fast,1.78,1.4480535403828565,0.12962408327879466,7,0.8536508534702234,0.9288988272207285,0.43678011896486346,loading
fast,1.8,1.465504517208192,0.12985199714863246,8,0.8626042557527276,0.928153501178733,0.446269897522944,loading
fast,1.82,1.482947615438814,0.13002786434532201,8,0.8715016720647306,0.927411832888482,0.44366672651463546,loading
fast,1.84,1.5003819483910554,0.13015991734615437,8,0.8803508915416842,0.9266742108762033,0.4414220561237414,loading
fast,1.86,1.517806771072694,0.13025508841612526,8,0.8891584739524712,0.9259400837795517,0.4394793070916503,loading
fast,1.8800000000000001,1.535221457803516,0.13031921495797552,8,0.8979299438597341,0.925208987248024,0.4377908360222449,loading
fast,1.9000000000000001,1.5390483446475383,0.11029423024899346,7,0.8798184025727622,0.9267304971688282,0.5843685986994807,loading
fast,1.92,1.5559413015685273,0.11326873677353508,7,0.8912393875577957,0.9257766884426687,0.5596488698205171,loading
fast,1.94,1.572880395784198,0.11576655559075308,7,0.9022067534828526,0.9248609965151836,0.5387116650561463,loading
fast,1.96,1.5898564228282055,0.11786161690557226,7,0.9127898283196729,0.9239775951800542,0.5209704803226245,loading
fast,1.98,1.6068616071159632,0.11961638681022144,7,0.9230471903682027,0.9231215616158748,0.5059297587004519,loading
fast,2.0,1.62388938037164,0.12108364498492118,7,0.9330283351707394,0.9222887363013997,0.4931707875364122,loading
fast,2.02,1.6409341944137008,0.12230798673660767,7,0.9427750839434592,0.9214756046532535,0.4823397825008957,loading
fast,2.04,1.6579913629711829,0.12332709212166389,7,0.9523227736072566,0.9206791970176734,0.4731378193374436,loading
fast,2.06,1.6750569280289636,0.12417279827013308,7,0.9617012622846137,0.919897004170194,0.4653123269424686,loading
fast,2.08,1.692127546898405,0.12487200542829098,7,0.9709357788774939,0.9191269059185004,0.45864989949939705,loading
fast,2.1,1.7092003967995897,0.1254474425043073,7,0.9800476409041041,0.9183671107765985,0.4529702232860533,loading
fast,2.12,1.726273094239641,0.1259183139033581,7,0.9890548610231773,0.9176161049934992,0.4481209451683288,loading
fast,2.14,1.7433436268927807,0.12630084606023215,7,0.9979726595066212,0.9168726094858539,0.44397333686885254,loading
fast,2.16,1.7604102960435206,0.12660874922300636,7,1.0068138972447658,0.9161355434488974,0.4404186315343228,loading
fast,2.18,1.7774716679549751,0.12685360762950199,7,1.0155894416069893,0.9154039936101154,0.4373649283742065,loading
fast,2.2,1.7945265327783453,0.12704520918041942,7,1.024308475569592,0.9146771882506445,0.43473457732523535,loading
fast,2.22,1.811573869834147,0.12719182399118123,7,1.0329787589082546,0.9139544752550794,0.43246196920798674,loading
fast,2.24,1.8286128182771808,0.12730043974971494,7,1.041606848888301,0.9132353035650255,0.43049166860620325,loading
fast,2.2600000000000002,1.8456426523103708,0.12737696057808182,7,1.050198286733265,0.912519207508584,0.4287768362725153,loading
fast,2.2800000000000002,1.8627366610282312,0.12753084731056866,8,1.0588991778246857,0.9117949573333755,0.4386658251915865,loading
fast,2.3000000000000003,1.8798717258663036,0.12770869570583032,8,1.0676445586389842,0.9110659590359198,0.4360670700211955,loading
fast,2.32,1.8969982673968886,0.12784269972261836,8,1.0763418334210637,0.9103409994687316,0.43382704584260523,loading
fast,2.34,1.9141155399470726,0.1279397961736224,8,1.0849975661471578,0.9096195269157621,0.43188913630309855,loading
